word,definition
skeleton,"the bones of a human or an animal considered as a whole, together forming the framework of the body"
transition,"movement, passage, or change from one position, state, stage, subject, concept to another; change"
accumulation,"growth by continuous additions, as of interest to principal."
situation,the state of affairs; combination of circumstances
coffee,a beverage consisting of a decoction or infusion of the roasted ground or crushed seeds of the two-seeded fruit of certain trees.
senior,of higher or the highest rank or standing
cry,"to weep; shed tears, with or without sound."
obscure,not clear to the understanding; hard to perceive
executive,a person or group of persons having administrative or supervisory authority in an organization.
order,an authoritative direction or instruction; command; mandate.
fireplace,the part of a chimney that opens into a room and in which fuel is burned; hearth
difference,the state or relation of being different; dissimilarity
cabinet,"a piece of furniture with shelves, drawers, etc., for holding or displaying items"
drain,"to withdraw or draw off (a liquid) gradually; remove slowly or by degrees, as by filtration"
obstacle,something that obstructs or hinders progress
violation,desecration; profanation
perforate,to pierce through or to the interior of; penetrate
flag,"a piece of cloth, varying in size, shape, color, and design, usually attached at one edge to a staff or cord, and used as the symbol of a nation, state, or organization, as a means of signaling"
inappropriate,not appropriate; not proper or suitable
